action,protocol,src-ip,dst-ip,src-port,dst-port,path,src-ip-risk-factor,dst-ip-risk-factor,total-risk-factor
0,0,125.165.123.240,192.168.1.8,6881,42065,0,1.0,1.0,1.0
0,0,171.100.159.5,192.168.1.8,18005,42065,0,1.0,1.0,1.0
0,1,104.207.83.2,192.168.1.8,44109,42065,0,1.0,1.0,1.0
0,0,95.121.174.30,192.168.1.8,30602,42065,0,-999.0,1.0,-499.0
0,1,192.168.1.8,103.226.5.56,57547,12388,1,1.0,1.0,1.0
0,1,122.161.73.203,192.168.1.8,62166,42065,0,5.7,1.0,3.35
0,0,172.219.118.208,192.168.1.8,6882,42065,0,1.0,1.0,1.0
0,0,111.82.67.119,192.168.1.8,62888,42065,0,1.0,1.0,1.0
0,0,116.24.94.105,192.168.1.8,32968,42065,0,1.0,1.0,1.0
0,0,122.192.82.94,192.168.1.8,1210,42065,0,1.0,1.0,1.0
0,0,37.210.54.15,192.168.1.8,50321,42065,0,-999.0,1.0,-499.0
0,0,114.41.48.224,192.168.1.8,8708,42065,0,1.0,1.0,1.0
0,1,197.237.24.218,192.168.1.8,52296,42065,0,5.7,1.0,3.35
0,1,192.168.1.8,45.118.157.57,57546,42815,1,1.0,1.0,1.0
0,1,41.114.217.93,192.168.1.8,5741,42065,0,1.0,1.0,1.0
0,0,60.167.186.182,192.168.1.8,8144,42065,0,1.0,1.0,1.0
0,0,223.90.113.231,192.168.1.8,65431,42065,0,1.0,1.0,1.0
0,0,198.255.179.119,192.168.1.8,26085,42065,0,1.0,1.0,1.0
0,0,116.27.144.9,192.168.1.8,22555,42065,0,1.0,1.0,1.0
0,1,59.91.17.238,192.168.1.8,55788,42065,0,5.7,1.0,3.35
0,1,105.27.171.66,192.168.1.8,1480,42065,0,1.0,1.0,1.0
0,1,118.67.223.206,192.168.1.8,51268,42065,0,1.4,1.0,1.2
0,1,2001:0:9d38:6abd:3411:260b:7457:2e38,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,58031,42065,0,1.0,1.0,1.0
0,1,185.21.216.171,192.168.1.8,49541,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,103.247.48.100,42065,42518,1,1.0,1.4,1.2
0,0,88.208.245.151,192.168.1.8,51900,42065,0,1.0,1.0,1.0
0,0,39.46.241.99,192.168.1.8,30485,42065,0,5.7,1.0,3.35
0,1,39.46.241.99,192.168.1.8,62204,42065,0,5.7,1.0,3.35
0,0,59.148.21.36,192.168.1.8,9691,42065,0,1.0,1.0,1.0
0,1,94.242.238.66,192.168.1.8,63173,42065,0,5.7,1.0,3.35
0,1,192.168.1.8,197.245.31.40,57554,25605,1,1.0,5.7,3.35
0,1,27.5.59.15,192.168.1.8,60285,42065,0,1.0,1.0,1.0
0,1,41.90.186.113,192.168.1.8,42660,42065,0,1.0,1.0,1.0
0,0,112.98.129.132,192.168.1.8,4871,42065,0,1.0,1.0,1.0
0,1,167.249.144.8,192.168.1.8,57081,42065,0,1.0,1.0,1.0
0,0,112.98.129.132,192.168.1.8,4864,42065,0,1.0,1.0,1.0
0,0,112.111.204.159,192.168.1.8,7168,42065,0,1.0,1.0,1.0
0,0,219.69.110.12,192.168.1.8,1905,42065,0,1.0,1.0,1.0
0,0,43.243.82.54,192.168.1.8,49533,42065,0,5.7,1.0,3.35
0,1,107.242.112.119,192.168.1.8,37473,42065,0,1.0,1.0,1.0
0,0,114.92.118.224,192.168.1.8,8016,42065,0,1.0,1.0,1.0
0,0,68.82.166.100,192.168.1.8,40500,42065,0,1.0,1.0,1.0
0,2,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,2001:0:9d38:6abd:38ce:153a:d625:11a7,-99999,-99999,1,1.0,1.0,1.0
0,2,2001:0:9d38:6abd:38ce:153a:d625:11a7,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,-99999,-99999,0,1.0,1.0,1.0
0,1,2001:0:9d38:6abd:38ce:153a:d625:11a7,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,51148,42065,0,1.0,1.0,1.0
0,0,36.231.138.156,192.168.1.8,7838,42065,0,1.0,1.0,1.0
0,1,197.245.31.40,192.168.1.8,53775,42065,0,5.7,1.0,3.35
0,0,115.219.106.213,192.168.1.8,2350,42065,0,1.0,1.0,1.0
0,0,176.31.248.203,192.168.1.8,6882,42065,0,1.0,1.0,1.0
0,0,85.61.150.26,192.168.1.8,20189,42065,0,1.0,1.0,1.0
0,0,217.251.18.11,192.168.1.8,6889,42065,0,1.0,1.0,1.0
0,0,105.225.252.165,192.168.1.8,55617,42065,0,1.0,1.0,1.0
0,0,58.176.61.115,192.168.1.8,14473,42065,0,1.0,1.0,1.0
0,1,180.191.92.23,192.168.1.8,4454,42065,0,1.0,1.0,1.0
0,0,2.86.201.223,192.168.1.8,40501,42065,0,1.0,1.0,1.0
0,1,2001:0:4137:9e76:182d:7ee:ae13:f902,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,51270,42065,0,1.0,1.0,1.0
0,0,118.37.25.194,192.168.1.8,40932,42065,0,1.0,1.0,1.0
0,1,2405:204:629c:a749:7058:cbdc:b987:40ff,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,39600,42065,0,1.0,1.0,1.0
