action,protocol,src-ip,dst-ip,src-port,dst-port,size,path
383,231,711,558,255,257,48,515
309,233,556,538,208,208,113,515
383,233,523,558,252,257,48,515
309,233,556,538,208,208,113,515
383,233,558,654,257,218,48,298
383,231,703,558,252,257,48,515
383,231,558,642,275,263,48,298
309,233,556,538,208,208,113,515
383,233,558,705,257,254,48,298
383,231,652,558,259,257,48,515
383,233,558,701,270,155,48,298
383,233,651,558,261,257,48,515
383,233,661,558,251,257,48,515
383,233,558,650,257,254,48,298
383,233,558,759,263,202,48,298
383,233,644,558,267,257,48,515
383,231,712,558,270,257,48,515
383,233,644,558,205,257,48,515
383,231,755,558,259,257,48,515
383,233,748,558,261,257,48,515
383,233,646,558,251,257,48,515
383,233,558,755,257,265,48,298
383,233,503,558,201,257,48,515
383,231,558,699,271,202,48,298
383,297,2326,2234,45,45,48,515
383,297,2234,2326,45,45,48,298
383,231,617,558,258,257,48,515
383,233,753,558,263,257,48,515
383,233,558,551,267,104,48,298
383,231,558,617,273,155,48,298
383,231,558,617,274,155,48,298
383,233,558,562,257,227,48,298
383,233,601,558,220,257,48,515
383,231,651,558,211,257,48,515
309,233,552,538,208,208,113,515
383,231,655,558,266,257,48,515
383,231,558,619,276,202,48,298
309,233,552,538,208,208,113,515
383,233,656,558,259,257,48,515
383,231,558,645,260,220,48,298
383,233,696,558,259,257,48,515
383,233,703,558,218,257,48,515
309,233,552,538,208,208,113,515
